cpu_percent,memory_percent,disk_percent,db_connections,db_pool_usage,api_latency_ms,error_rate,request_rate,queue_depth,network_latency_ms,traffic_growth_percent,failure_type,failure_in_next_window
45.17,52.99,55.66,41.96,28.76,142.45,0.9,687.42,37.67,45.87,-12.87,none,0
59.94,62.71,70.39,45.58,32.32,843.45,7.6,1094.82,109.77,468.09,3.68,network_degradation,1
48.79,43.95,45.58,49.67,38.97,162.21,1.72,715.14,22.78,61.57,-6.62,none,0
71.74,98.28,55.46,43.24,63.21,875.61,4.33,1390.36,157.15,34.3,-2.53,memory_exhaustion,1
45.53,71.04,53.6,46.97,50.48,308.94,2.18,823.18,44.53,34.57,0.1,none,0
45.47,53.34,55.21,50.05,51.37,53.15,2.03,754.5,8.37,39.12,5.84,none,0
57.47,33.89,48.9,36.23,44.3,163.94,0.69,1181.07,30.95,11.62,-14.59,none,0
41.69,48.76,54.58,48.38,59.21,94.44,0.56,726.67,34.33,58.67,0.69,none,0
19.44,40.0,46.63,38.87,45.58,134.41,2.34,831.0,17.07,47.18,-10.36,none,0
46.54,48.23,78.82,35.67,75.9,138.73,0.48,1017.48,13.86,28.72,8.97,none,0
35.67,61.85,72.36,100.0,93.32,974.48,6.54,920.52,122.27,41.79,-0.71,database_connection_exhaustion,1
45.09,55.38,72.48,69.71,49.64,179.48,0.58,978.03,44.1,52.99,7.12,none,0
52.36,64.4,59.34,39.66,50.04,10.0,1.81,87.9,4.15,46.78,9.78,none,0
34.32,66.45,47.74,78.64,44.97,651.56,9.85,1032.76,131.21,474.42,4.64,network_degradation,1
40.76,48.73,58.35,54.25,30.0,97.92,2.38,896.92,8.75,46.66,9.63,none,0
73.9,95.06,60.62,54.48,23.94,715.02,5.24,879.3,103.92,62.19,22.94,memory_exhaustion,1
57.36,49.29,44.06,38.78,54.51,150.15,1.77,1167.52,24.38,51.34,8.79,none,0
66.63,43.99,30.17,29.32,29.68,152.61,1.28,915.79,39.3,45.1,8.16,none,0
54.24,24.7,49.53,12.3,45.54,149.77,2.34,1296.91,33.04,32.49,9.85,none,0
44.98,61.83,97.09,57.09,55.16,552.5,2.57,1174.64,31.53,28.57,-3.59,disk_exhaustion,1
26.37,47.55,56.64,81.68,24.34,223.6,1.62,1102.79,31.78,46.67,3.46,none,0
38.15,63.59,45.33,44.1,28.92,845.36,10.64,980.66,228.32,408.71,2.71,network_degradation,1
36.2,67.22,58.66,42.73,51.49,153.1,1.59,897.92,9.03,16.85,11.53,none,0
36.06,50.1,66.92,47.71,35.16,211.31,2.76,1123.64,44.6,58.63,16.3,none,0
53.98,56.24,96.2,55.51,24.66,636.04,4.12,1210.06,52.31,35.92,-6.52,disk_exhaustion,1
39.58,54.22,40.17,51.75,45.05,112.51,1.31,953.96,25.95,66.57,4.02,none,0
13.54,39.27,51.05,34.71,65.73,141.75,2.53,1015.43,30.56,38.67,5.04,none,0
10.21,25.98,46.85,45.22,55.35,173.65,1.19,1254.76,45.45,42.76,14.63,none,0
36.58,58.37,56.66,87.7,100.0,1224.31,6.18,703.23,109.09,36.18,-10.07,database_connection_exhaustion,1
27.76,27.1,53.25,88.0,96.53,898.09,4.25,1037.16,110.51,46.26,-8.2,database_connection_exhaustion,1
50.48,57.36,52.89,67.98,60.11,137.17,2.1,1483.45,59.41,21.58,-4.27,none,0
29.13,34.13,47.71,89.55,93.26,771.56,1.7,821.92,78.66,74.22,7.98,database_connection_exhaustion,1
17.84,23.0,37.07,64.87,44.33,913.24,6.9,1195.64,90.7,555.95,12.29,network_degradation,1
27.24,51.04,59.91,33.11,45.4,178.53,1.99,1387.97,49.15,24.98,21.84,none,0
60.67,50.82,48.82,17.88,42.43,72.03,2.27,1379.2,18.05,44.53,-2.25,none,0
56.62,49.54,97.3,37.77,59.99,684.44,4.89,888.21,29.26,38.27,-3.36,disk_exhaustion,1
66.74,45.5,60.6,35.65,45.35,120.01,2.8,1090.92,26.73,57.9,-16.71,none,0
56.94,50.73,58.76,96.23,87.7,780.94,4.69,1042.43,91.04,34.08,-16.29,database_connection_exhaustion,1
68.25,95.21,64.21,56.31,41.23,684.82,8.67,1308.23,93.91,34.79,-6.8,memory_exhaustion,1
50.64,32.18,72.86,33.59,36.59,148.89,0.25,1057.19,44.51,44.39,-10.89,none,0
56.13,27.46,38.88,58.15,49.05,170.6,2.99,1117.14,39.87,80.66,2.86,none,0
51.42,55.27,47.1,29.51,79.65,1288.16,15.74,1587.14,203.31,36.21,33.91,api_availability_degradation,1
87.94,78.29,49.33,58.74,19.0,646.36,5.73,1921.46,85.79,59.93,40.56,cpu_saturation,1
65.84,91.98,77.1,63.39,1.99,821.61,3.91,561.98,113.87,58.73,-5.87,memory_exhaustion,1
16.93,72.35,64.04,93.28,96.61,898.42,8.03,919.0,107.43,32.63,-0.81,database_connection_exhaustion,1
78.45,31.18,73.91,65.52,32.22,261.46,2.3,1242.78,30.42,36.74,2.91,none,0
66.02,52.18,41.33,91.58,92.24,367.99,4.51,932.27,153.63,26.98,-11.35,database_connection_exhaustion,1
35.03,54.33,34.14,66.58,42.84,1173.69,8.81,1665.74,253.36,31.1,67.6,api_availability_degradation,1
46.36,71.42,60.36,59.44,34.13,107.31,1.87,1247.14,30.6,20.7,-8.6,none,0
18.49,51.31,71.88,44.8,11.09,140.46,1.37,1524.0,8.14,34.14,22.06,none,0
53.45,51.38,59.95,86.64,92.59,701.28,7.65,1082.09,85.5,30.76,4.77,database_connection_exhaustion,1
55.68,35.82,46.51,35.63,64.88,166.51,1.33,1124.68,0.0,39.35,24.98,none,0
46.02,56.58,68.43,90.83,93.25,823.6,9.16,1328.01,155.96,10.98,-7.68,database_connection_exhaustion,1
42.44,24.38,64.26,53.33,49.64,747.82,9.68,1502.19,138.29,651.64,-11.87,network_degradation,1
43.43,66.37,51.45,18.29,32.95,1042.91,7.81,1942.74,218.58,31.27,38.25,api_availability_degradation,1
78.42,93.96,42.75,27.8,30.9,381.96,2.48,1040.51,100.88,16.19,5.25,memory_exhaustion,1
60.43,23.43,60.19,62.84,42.7,177.51,0.94,970.16,5.69,4.83,14.43,none,0
86.33,97.79,33.85,42.39,34.06,386.74,4.38,1080.21,140.74,63.67,-5.68,memory_exhaustion,1
52.62,52.34,51.73,39.24,49.32,1281.0,7.72,1713.97,208.87,47.98,49.14,api_availability_degradation,1
85.85,88.7,71.98,9.84,68.86,746.07,5.02,695.03,93.89,42.19,4.83,memory_exhaustion,1
22.93,56.04,18.79,54.73,22.62,152.67,1.4,1292.38,27.32,29.59,-0.07,none,0
53.04,45.37,51.45,21.49,50.83,62.01,2.1,1032.16,65.8,23.5,3.97,none,0
62.87,41.65,58.36,45.03,49.23,115.07,1.43,600.49,32.03,46.75,2.73,none,0
59.83,54.37,44.11,40.79,22.49,98.73,1.07,1307.11,20.41,49.6,-0.38,none,0
42.88,60.48,46.98,21.41,24.27,123.41,0.5,1102.55,23.01,75.62,-12.38,none,0
28.08,44.08,57.12,10.12,48.55,245.15,1.14,1064.95,45.37,37.54,-0.81,none,0
54.61,48.64,39.81,46.9,36.24,819.52,6.12,665.4,111.48,612.74,-1.63,network_degradation,1
46.1,50.45,53.64,44.54,41.78,77.9,1.09,1228.66,9.47,37.16,-3.2,none,0
39.17,67.73,94.69,25.32,55.07,631.9,3.15,1078.45,22.62,53.39,-2.75,disk_exhaustion,1
54.43,70.52,89.01,29.54,46.06,91.19,0.88,842.48,14.14,24.22,3.56,none,0
57.63,38.99,97.14,99.31,97.24,917.18,2.13,1279.88,90.5,19.8,7.11,database_connection_exhaustion,1
55.32,64.55,71.64,21.12,49.52,200.78,0.17,998.02,34.11,35.49,-13.52,none,0
40.09,48.22,46.55,92.2,97.84,548.49,3.05,897.59,128.21,11.19,9.77,database_connection_exhaustion,1
44.89,52.04,48.07,54.97,58.99,1368.45,12.58,1437.17,257.94,58.33,37.28,api_availability_degradation,1
56.21,50.69,38.24,51.22,53.68,154.4,1.68,935.32,52.17,26.49,-0.87,none,0
58.18,32.03,35.35,14.43,45.49,94.08,1.19,1165.34,20.38,43.47,2.01,none,0
52.13,41.7,52.47,60.66,50.9,80.15,2.02,728.85,51.19,55.36,7.9,none,0
41.86,58.14,49.44,48.53,58.08,121.91,1.01,701.41,14.03,12.57,12.3,none,0
98.1,62.17,65.87,66.33,38.15,610.04,3.84,1458.92,63.76,42.99,19.49,cpu_saturation,1
51.8,44.6,38.86,36.68,61.07,643.91,9.02,1154.78,149.32,543.55,6.47,network_degradation,1
1.24,64.28,9.29,86.04,91.67,716.9,8.73,726.57,141.97,11.18,16.29,database_connection_exhaustion,1
19.21,45.16,42.05,64.4,24.75,230.21,1.47,709.52,19.84,27.98,-7.75,none,0
26.58,23.84,49.3,17.96,33.72,1253.83,6.93,1339.19,225.4,43.68,36.56,api_availability_degradation,1
36.21,51.97,45.39,90.47,94.42,1205.39,4.32,1059.6,143.1,33.54,12.97,database_connection_exhaustion,1
16.6,52.61,78.63,52.33,47.56,121.98,1.52,936.98,18.21,35.65,6.98,none,0
32.91,33.68,60.86,53.18,48.47,666.82,8.87,1098.0,138.81,454.8,-0.31,network_degradation,1
23.93,63.47,53.59,28.34,62.83,181.28,0.49,1444.3,39.88,39.85,20.9,none,0
44.58,42.08,63.73,52.15,45.22,1251.35,8.57,1551.96,245.41,17.92,47.91,api_availability_degradation,1
39.05,51.36,66.05,38.06,59.95,100.32,1.74,1230.66,39.9,68.75,-2.63,none,0
30.08,57.93,92.38,46.53,28.16,368.85,3.1,1289.74,72.86,45.5,10.83,disk_exhaustion,1
23.29,70.67,59.09,50.7,40.36,141.36,2.27,991.92,37.96,37.06,1.58,none,0
85.22,96.33,55.85,25.71,44.48,585.71,4.06,771.22,81.12,45.81,-6.54,memory_exhaustion,1
57.86,91.86,64.44,46.98,57.28,715.78,4.44,1217.71,84.64,12.88,20.43,memory_exhaustion,1
66.01,37.43,43.03,48.17,50.86,174.82,2.23,1049.64,37.34,36.11,5.63,none,0
48.23,59.27,63.33,45.66,32.86,1224.5,17.01,1797.23,161.1,32.14,30.41,api_availability_degradation,1
39.73,52.99,67.69,96.68,92.54,922.93,6.87,1676.0,141.94,29.21,-1.94,database_connection_exhaustion,1
32.3,37.09,58.36,54.01,49.99,109.53,2.04,814.03,22.18,25.84,18.01,none,0
54.07,64.97,97.19,19.36,33.92,119.19,0.82,730.6,25.51,21.75,8.35,none,0
52.22,56.09,64.05,39.4,76.82,161.72,0.01,749.41,3.89,40.26,3.78,none,0
75.16,56.59,65.89,31.03,30.01,151.84,1.64,535.92,27.3,40.21,2.85,none,0
36.91,47.88,56.36,54.07,61.21,1155.66,6.27,1109.41,130.49,629.17,12.9,network_degradation,1
45.17,48.82,45.26,22.72,46.39,111.58,1.57,801.49,13.51,43.51,6.51,none,0
77.79,53.33,62.28,28.84,25.7,229.14,0.76,739.01,29.41,38.65,-4.03,none,0
81.75,86.86,34.09,59.14,52.38,755.07,2.64,813.84,109.96,57.49,-5.37,memory_exhaustion,1
48.7,63.02,63.26,9.34,33.23,156.91,1.34,1119.4,41.84,49.13,2.86,none,0
38.17,55.0,38.64,92.07,98.42,949.85,7.92,680.48,130.89,31.8,-14.84,database_connection_exhaustion,1
55.46,77.33,69.57,21.29,51.7,1073.15,9.08,1432.99,155.49,53.92,6.85,api_availability_degradation,1
95.47,67.12,47.6,74.03,45.2,609.44,5.84,1921.49,239.38,60.53,47.58,cpu_saturation,1
62.1,50.14,19.25,52.75,11.71,223.5,1.64,1249.92,16.47,16.71,7.61,none,0
37.63,51.02,96.51,57.52,60.74,661.65,11.0,952.48,156.23,482.36,13.12,network_degradation,1
54.77,57.46,54.44,47.96,27.22,896.07,13.06,1081.0,181.8,464.77,20.7,network_degradation,1
94.17,69.13,41.75,56.83,28.49,420.07,3.97,1717.89,181.61,3.41,41.84,cpu_saturation,1
35.79,30.69,65.03,61.85,44.33,51.96,2.06,585.03,34.63,26.69,-6.6,none,0
42.25,42.27,63.83,38.31,59.7,1066.07,7.3,1189.17,258.78,44.36,22.7,api_availability_degradation,1
61.65,66.28,43.83,35.52,54.24,33.65,0.01,929.82,53.25,33.46,6.01,none,0
76.6,43.08,54.75,72.33,22.17,201.38,0.69,1025.62,26.36,25.63,-4.83,none,0
59.93,48.44,56.05,53.57,30.43,1066.23,8.79,1451.72,207.06,33.13,35.07,api_availability_degradation,1
46.34,61.95,45.93,17.36,16.25,87.03,0.45,961.35,12.17,29.46,-2.74,none,0
92.88,88.17,55.24,38.08,38.5,644.63,4.8,1535.63,158.7,9.53,33.86,cpu_saturation,1
46.61,60.18,75.67,44.97,57.23,1046.38,9.11,809.5,138.71,445.19,3.78,network_degradation,1
60.13,55.81,73.27,58.79,67.83,682.7,8.02,923.22,180.26,512.37,7.16,network_degradation,1
53.33,29.46,51.77,71.73,41.79,59.98,3.01,1170.6,28.95,34.43,15.82,none,0
62.22,56.51,58.67,47.18,42.38,202.28,0.81,594.52,39.22,49.47,9.8,none,0
40.19,59.45,54.32,37.69,40.32,251.03,0.11,1124.95,4.81,38.38,0.66,none,0
50.84,45.44,23.51,93.01,95.76,574.27,7.94,1011.51,188.19,65.24,16.34,database_connection_exhaustion,1
78.4,95.38,57.74,43.9,50.72,749.15,5.17,1316.58,142.3,25.13,14.68,memory_exhaustion,1
49.64,57.49,42.5,77.38,52.05,185.65,0.21,794.32,48.57,44.3,-14.14,none,0
36.84,66.94,53.68,88.99,92.43,565.77,5.64,950.88,119.77,20.04,-11.68,database_connection_exhaustion,1
93.83,70.9,79.86,34.73,34.75,650.8,7.28,1504.13,147.77,60.3,47.07,cpu_saturation,1
40.06,47.43,64.96,36.22,53.83,145.6,0.72,760.79,51.71,37.65,21.4,none,0
49.37,78.71,39.14,16.53,64.3,947.92,7.9,1271.36,162.63,25.74,34.93,api_availability_degradation,1
96.03,52.27,50.93,44.7,35.16,616.76,6.99,1936.2,199.31,36.41,28.1,cpu_saturation,1
95.98,71.46,28.65,41.4,64.3,778.58,2.78,1917.97,115.52,34.51,43.35,cpu_saturation,1
94.27,71.15,52.36,51.0,2.08,487.09,5.35,1848.58,191.57,38.88,47.9,cpu_saturation,1
18.98,52.16,46.22,91.87,92.39,730.0,6.53,683.89,193.75,20.47,22.27,database_connection_exhaustion,1
65.88,39.76,64.71,32.53,18.35,200.98,2.43,1261.51,22.95,37.5,12.5,none,0
83.89,92.37,56.71,61.19,27.04,495.89,1.36,1187.54,152.58,29.58,-11.17,memory_exhaustion,1
57.39,59.24,69.52,53.65,41.34,141.81,1.16,1658.69,38.34,33.04,9.65,none,0
67.14,92.45,62.52,60.99,50.77,765.06,6.35,985.89,116.81,33.26,19.8,memory_exhaustion,1
41.14,56.88,45.35,41.11,59.55,193.71,0.71,786.12,31.63,65.89,-14.16,none,0
24.36,42.39,49.53,38.69,36.99,150.36,1.07,634.39,41.7,51.29,13.43,none,0
49.48,58.11,39.53,45.14,43.26,242.11,3.04,583.91,67.41,26.27,14.81,none,0
30.06,55.92,53.39,86.77,91.73,788.25,8.57,958.03,149.28,48.71,12.32,database_connection_exhaustion,1
90.87,100.0,75.53,48.65,32.67,726.52,8.06,1474.18,99.7,26.65,35.65,cpu_saturation,1
53.58,27.88,44.84,28.9,16.57,155.85,0.0,669.45,21.94,27.53,8.96,none,0
58.41,59.03,72.11,44.97,49.55,175.58,1.61,900.7,25.01,27.74,9.22,none,0
94.16,81.43,36.84,59.68,46.18,731.58,4.03,1806.01,102.04,55.32,53.88,cpu_saturation,1
68.24,96.7,60.36,74.17,68.64,720.11,5.55,1228.04,59.49,43.36,-7.73,memory_exhaustion,1
40.33,41.05,68.05,62.67,60.85,112.24,0.0,558.26,51.32,33.98,-2.51,none,0
63.98,50.29,50.6,43.02,48.41,230.0,1.84,1181.51,47.54,22.45,12.55,none,0
40.08,19.81,23.08,29.73,52.97,155.69,1.65,1487.74,10.96,39.59,8.04,none,0
45.42,30.8,76.15,34.78,75.47,148.38,2.32,986.67,29.54,31.24,6.19,none,0
33.24,48.5,45.85,79.49,43.65,227.26,1.34,1064.82,10.18,33.29,7.11,none,0
48.33,66.6,64.61,69.41,44.11,269.51,1.11,808.38,11.85,74.97,13.19,none,0
92.32,71.19,84.49,21.78,41.02,555.36,7.11,2096.17,127.33,51.09,38.79,cpu_saturation,1
96.29,57.7,77.52,51.03,33.57,723.02,5.28,1907.14,193.66,27.39,34.04,cpu_saturation,1
32.48,49.14,73.9,43.21,31.65,125.39,1.66,906.62,37.28,47.84,13.89,none,0
99.72,94.51,41.45,43.86,38.23,556.49,5.01,881.37,107.69,35.26,16.78,memory_exhaustion,1
51.53,74.92,42.32,57.89,48.12,71.45,2.12,1316.91,17.14,39.87,-12.25,none,0
60.72,44.4,38.37,88.67,97.75,758.85,10.65,709.57,85.99,42.31,14.69,database_connection_exhaustion,1
64.93,42.12,85.2,53.87,29.76,123.89,2.12,1263.16,28.94,40.67,12.58,none,0
95.33,71.86,58.53,63.23,69.24,686.4,6.11,2006.3,171.84,37.7,34.57,cpu_saturation,1
94.72,93.43,60.55,55.03,34.95,1054.76,4.54,868.37,107.66,58.99,15.66,memory_exhaustion,1
39.03,54.47,67.53,43.29,71.65,161.96,1.72,772.75,36.28,37.99,-1.08,none,0
85.08,46.84,94.16,34.53,44.23,627.71,2.22,1169.15,20.33,45.11,-3.76,disk_exhaustion,1
55.33,61.72,55.59,56.65,18.58,193.15,1.64,1156.78,35.7,25.19,-9.98,none,0
53.47,58.28,34.48,30.28,34.15,132.13,0.41,644.49,17.67,41.29,-6.81,none,0
60.88,34.38,51.9,60.37,38.73,121.32,2.43,923.45,46.57,46.43,1.57,none,0
49.81,62.25,46.77,45.62,44.08,185.21,0.68,1254.24,36.99,20.25,17.08,none,0
60.03,67.12,56.28,20.08,17.34,162.75,1.03,771.36,29.06,49.23,-9.53,none,0
67.65,37.1,68.05,37.73,53.19,204.87,2.09,1227.29,12.73,56.7,-3.53,none,0
48.87,55.82,60.05,32.34,24.75,193.62,1.65,1287.34,29.33,18.92,14.66,none,0
50.13,42.23,79.66,31.85,39.94,155.37,0.63,1082.63,54.18,32.64,8.95,none,0
44.42,46.24,42.72,61.22,40.11,141.13,1.2,520.8,13.02,54.42,-16.1,none,0
95.11,65.05,66.53,36.64,64.57,743.06,5.88,1966.19,126.68,33.91,34.39,cpu_saturation,1
38.38,51.82,63.25,89.47,96.59,868.65,7.28,1128.99,152.62,50.56,-5.09,database_connection_exhaustion,1
57.95,48.06,96.13,62.03,56.61,468.65,2.99,1041.38,41.68,53.65,7.84,disk_exhaustion,1
45.28,49.58,26.72,39.04,45.84,135.93,1.3,1122.0,13.82,15.58,1.52,none,0
70.31,59.39,32.98,90.27,83.18,788.14,5.95,770.74,89.41,46.3,13.26,database_connection_exhaustion,1
47.48,49.33,21.11,48.23,31.08,174.28,0.47,1007.5,25.75,44.55,6.25,none,0
21.96,32.27,46.24,44.88,35.88,181.26,1.28,758.75,25.83,43.39,8.25,none,0
34.97,49.12,61.39,95.01,90.38,853.16,3.28,731.57,105.17,28.06,-5.47,database_connection_exhaustion,1
50.98,59.9,44.3,92.65,92.57,700.95,7.13,1417.78,123.45,39.39,-16.95,database_connection_exhaustion,1
59.17,51.64,73.43,45.12,43.27,478.99,10.81,1703.61,118.07,579.25,10.25,network_degradation,1
46.61,34.65,62.89,35.23,46.5,135.8,3.04,1495.57,30.7,40.96,1.27,none,0
40.07,44.94,69.68,36.93,44.43,70.93,2.06,1485.22,40.82,61.93,-3.46,none,0
30.85,47.27,66.58,46.53,23.81,1434.1,5.36,2028.66,164.84,60.44,46.61,api_availability_degradation,1
25.36,57.33,22.94,41.66,62.07,150.92,1.1,1222.34,44.62,59.65,13.74,none,0
55.99,53.19,56.34,41.44,26.81,102.23,1.27,1060.36,51.61,39.37,15.03,none,0
41.53,57.14,51.35,64.83,54.54,90.48,1.63,1412.03,27.28,46.72,10.46,none,0
52.66,33.27,45.62,61.14,50.35,134.78,1.86,984.98,30.19,49.85,-2.27,none,0
40.32,30.97,41.19,68.52,50.77,83.82,0.27,971.96,53.42,37.2,18.07,none,0
52.07,33.97,69.06,39.98,57.95,109.29,1.64,1088.0,27.69,46.07,2.34,none,0
69.08,62.59,43.59,53.53,33.86,90.77,2.33,573.98,43.9,36.21,2.88,none,0
53.72,40.08,65.77,46.7,26.16,141.51,2.61,1419.15,40.76,22.14,9.91,none,0
55.89,59.42,60.45,43.91,35.87,55.1,1.77,1046.51,38.36,19.94,11.45,none,0
46.18,49.26,59.64,75.49,29.65,160.16,0.86,863.25,29.26,60.21,23.01,none,0
39.35,79.91,48.59,36.43,18.38,219.8,2.27,1604.45,9.16,61.87,5.7,none,0
20.28,67.62,66.8,44.42,54.68,111.73,1.04,884.14,2.21,52.93,16.92,none,0
82.27,97.57,59.92,35.59,31.75,502.08,4.75,1505.53,94.86,26.11,17.27,memory_exhaustion,1
25.64,46.84,75.05,90.03,99.47,909.3,9.86,977.42,127.7,35.89,-9.77,database_connection_exhaustion,1
57.8,58.63,64.35,50.22,41.51,245.77,0.77,1001.08,30.22,46.04,0.71,none,0
42.47,31.02,55.14,28.49,18.98,156.84,1.89,1131.67,38.51,11.01,-8.61,none,0
100.0,98.05,44.7,46.2,35.5,707.75,4.83,887.93,41.84,44.02,-7.13,memory_exhaustion,1
25.17,65.39,43.15,34.51,42.52,96.9,0.52,987.38,16.63,28.88,-2.81,none,0
41.52,47.86,63.95,42.87,40.83,173.52,2.03,963.23,31.21,28.27,-3.61,none,0
51.67,55.46,59.21,45.69,55.45,196.76,2.23,974.81,50.8,43.43,11.32,none,0
48.71,41.17,65.52,87.68,39.38,153.55,1.14,878.0,53.17,29.91,0.26,none,0
33.64,29.5,64.48,87.0,39.5,66.66,2.22,818.27,49.49,35.77,-1.32,none,0
